NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
SMAN 1 CIBARUSAH,20218357,Sindangmulya,Kec. Cibarusah,Kab. Bekasi,17343,-6.413,107.0843,NEGERI,A
SMAN 1 CIBITUNG,20237985,Wanajaya,Kec. Cibitung,Kab. Bekasi,17520,-6.2538,107.0958,NEGERI,A
SMAN 1 CIKARANG BARAT,20237986,Telagamurni,Kec. Cikarang Barat,Kab. Bekasi,17520,-6.26,107.125,NEGERI,A
SMAN 1 CIKARANG PUSAT,20237987,Jayamukti,Kec. Cikarang Pusat,Kab. Bekasi,17815,-6.3153,107.1647,NEGERI,A
SMAN 1 CIKARANG SELATAN,20218378,Sukaresmi,Kec. Cikarang Selatan,Kab. Bekasi,17330,-6.3341,107.1194,NEGERI,A
SMAN 1 CIKARANG TIMUR,20237988,Jatibaru,Kec. Cikarang Timur,Kab. Bekasi,17530,-6.2745,107.2012,NEGERI,A
SMAN 1 CIKARANG UTARA,20218356,Karangasih,Kec. Cikarang Utara,Kab. Bekasi,17530,-6.2488,107.1593,NEGERI,A
SMAN 1 KARANG BAHAGIA,20237989,Karanganyar,Kec. Karang Bahagia,Kab. Bekasi,17530,-6.2071,107.189,NEGERI,A
SMAN 1 KEDUNGWARINGIN,20237990,Kedungwaringin,Kec. Kedung Waringin,Kab. Bekasi,17540,-6.2694,107.2678,NEGERI,A
SMAN 1 MUARAGEMBONG,20237991,Pantaimekar,Kec. Muara Gembong,Kab. Bekasi,17730,-5.9871,107.0477,NEGERI,A
SMAN 1 PEBAYURAN,20218354,Kertasari,Kec. Pebayuran,Kab. Bekasi,17710,-6.2062,107.292,NEGERI,A
SMAN 1 SERANG BARU,20238568,Sukaragam,Kec. Serang Baru,Kab. Bekasi,17330,-6.3959,107.1168,NEGERI,A
SMAN 1 SETU,20237992,Lubangbuaya,Kec. Setu,Kab. Bekasi,17320,-6.3208,107.0467,NEGERI,A
SMAN 1 SUKAKARYA,20244763,Sukamakmur,Kec. Sukakarya,Kab. Bekasi,17630,-6.1735,107.2179,NEGERI,A
SMAN 1 SUKATANI,20218353,Sukamulya,Kec. Sukatani,Kab. Bekasi,17630,-6.1653,107.1786,NEGERI,A
SMAN 1 SUKAWANGI,20238569,Sukakerta,Kec. Sukawangi,Kab. Bekasi,17620,-6.1129,107.1296,NEGERI,A
SMAN 1 TAMBELANG,20237993,Sukarapih,Kec. Tambelang,Kab. Bekasi,17620,-6.1852,107.1223,NEGERI,A
SMAN 1 TAMBUN SELATAN,20218351,Tambun,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2715,107.0661,NEGERI,A
SMAN 1 TAMBUN UTARA,20218364,Sriamur,Kec. Tambun Utara,Kab. Bekasi,17561,-6.1882,107.0496,NEGERI,A
SMAN 1 TARUMAJAYA,20218365,Pahlawan Setia,Kec. Taruma Jaya,Kab. Bekasi,17216,-6.1389,107.0004,NEGERI,A
SMAN 2 BABELAN,20254165,Kebalen,Kec. Babelan,Kab. Bekasi,17610,-6.1952,107.0366,NEGERI,A
SMAN 2 CIKARANG BARAT,69964653,Telagamurni,Kec. Cikarang Barat,Kab. Bekasi,17530,-6.2551,107.1156,NEGERI,A
SMAN 2 CIKARANG PUSAT,20245433,Sukamahi,Kec. Cikarang Pusat,Kab. Bekasi,17531,-6.3764,107.1638,NEGERI,A
SMAN 2 CIKARANG SELATAN,69772703,Sukadami,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.3539,107.1086,NEGERI,A
SMAN 2 CIKARANG UTARA,20253190,Simpangan,Kec. Cikarang Utara,Kab. Bekasi,17534,-6.2738,107.1727,NEGERI,A
SMAN 2 SUKATANI,20237994,Sukamanah,Kec. Sukatani,Kab. Bekasi,17633,-6.1946,107.1727,NEGERI,A
SMAN 2 TAMBUN SELATAN,20218379,Mekarsari,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2696,107.0557,NEGERI,A
SMAN 2 TAMBUN UTARA,20237995,Karangsatria,Kec. Tambun Utara,Kab. Bekasi,17510,-6.2332,107.0506,NEGERI,A
SMAN 3 BABELAN,69823285,Bahagia,Kec. Babelan,Kab. Bekasi,17612,-6.1719,107.0134,NEGERI,A
SMAN 3 CIKARANG UTARA,20245434,Waluya,Kec. Cikarang Utara,Kab. Bekasi,17530,-6.2655,107.1865,NEGERI,A
SMAN 3 TAMBUN SELATAN,20237996,Mangunjaya,Kec. Tambun Selatan,Kab. Bekasi,17517,-6.2264,107.0618,NEGERI,A
SMAN 4 TAMBUN SELATAN,20237997,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2246,107.0835,NEGERI,A
SMAN 5 TAMBUN SELATAN,20237998,Lambangsari,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2849,107.0384,NEGERI,A
SMAN 6 TAMBUN SELATAN,69821180,Jatimulya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2675,107.0185,NEGERI,A
SMAN 8 TAMBUN SELATAN,69982031,Tambun,Kec. Tambun Selatan,Kab. Bekasi,17520,-6.2277,107.0762,NEGERI,B
SMA AL-KAMILIYYAH BOARDING SCHOOL,69964749,Sindangmulya,Kec. Cibarusah,Kab. Bekasi,17340,-6.4278,107.0853,SWASTA,A
SMA BINTANG TIMUR,69990974,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2232602,107.0622373,SWASTA,Belum/Tidak Terakreditasi
SMA BUNYAN INDONESIA,69969192,Lubangbuaya,Kec. Setu,Kab. Bekasi,17530,-6.3322,107.0589,SWASTA,A
SMA IIBS,20252020,Sukaresmi,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.352,107.1204,SWASTA,A
SMA ISLAM AL - AZHAR 18 GRAND WISATA,69954194,Lambangsari,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.245136,107.049435,SWASTA,A
SMA ISLAM AL AZHAR 22,70008990,Simpangan,Kec. Cikarang Utara,Kab. Bekasi,17530,-6.2793,107.1756,SWASTA,A
SMA ISLAM DARUNNADWAH,69943870,Karangasih,Kec. Cikarang Utara,Kab. Bekasi,17540,-6.2392,107.2373,SWASTA,A
SMA ISLAM TERPADU ULIL ALBAB,70029938,Wanasari,Kec. Cibitung,Kab. Bekasi,17520,-6.2364,107.0904,SWASTA,B
SMA IT  Nurul Fajri,69989763,Telaga Asih,Kec. Cikarang Barat,Kab. Bekasi,17520,-6.2666445,107.0990261,SWASTA,A
SMA IT ANNUR,NP582477,Sertajaya,Kec. Cikarang Timur,Kab. Bekasi,17550,-6.3122,107.1675,SWASTA,Belum/Tidak Terakreditasi
SMA IT EZZAT EL FATIR,70007150,Tanjungsari,Kec. Cikarang Utara,Kab. Bekasi,-,6.2695,6.2695,SWASTA,B
SMA IT MUTIARA HIKMAH,69949642,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2798599,107.0450846,SWASTA,B
SMA KRISTEN PENABUR KOTA JABABEKA,69986554,Mekarmukti,Kec. Cikarang Utara,Kab. Bekasi,17530,-6.292513,107.153428,SWASTA,A
SMA KRISTEN TUNAS BANGSA,70035539,Cibatu,Kec. Cikarang Selatan,Kab. Bekasi,17530,-6.3463333,107.1600247,SWASTA,A
SMA MULTI ISTIQLAL,69942478,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2344,107.0714,SWASTA,B
SMA PELITA HARAPAN CIKARANG,20238021,Sukaresmi,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.3287,107.1475,SWASTA,C
SMA SANTO LEO III,69964623,Simpangan,Kec. Cikarang Utara,Kab. Bekasi,17530,-6.2784,107.1768,SWASTA,A
SMAIT AL-ARABI,69947131,Telagamurni,Kec. Cikarang Barat,Kab. Bekasi,17530,-6.3085472,107.1034641,SWASTA,B
SMAS AL - MUSLIM,20238003,Tambun,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2681,107.0745,SWASTA,A
SMAS AL - MUTTAQIN,20238004,Sukarapih,Kec. Tambelang,Kab. Bekasi,17620,-6.1921,107.1221,SWASTA,B
SMAS AL ICHWAN,20269741,Pasirgombong,Kec. Cikarang Utara,Kab. Bekasi,17550,-6.2867,107.155,SWASTA,B
SMAS AL MAGHFIRAH,20244052,Telajung,Kec. Cikarang Barat,Kab. Bekasi,17530,-6.3211,107.0574,SWASTA,B
SMAS AL MAMUR,20238002,Kalijaya,Kec. Cikarang Barat,Kab. Bekasi,17530,-6.258,107.1399,SWASTA,B
SMAS AL-MAHAD,69893233,Taman Sari,Kec. Setu,Kab. Bekasi,17360,-6.3812,107.0561,SWASTA,B
SMAS ATTAQWA 02 BABELAN,20246453,Babelan Kota,Kec. Babelan,Kab. Bekasi,17610,-6.1703,107.0265,SWASTA,B
SMAS AT-TAQWA 03,20246383,Sukamekar,Kec. Sukawangi,Kab. Bekasi,17655,-6.1434,107.05,SWASTA,B
SMAS AZZAHIRIYAH,20246479,Waringinjaya,Kec. Kedung Waringin,Kab. Bekasi,17540,-6.2634,107.2525,SWASTA,B
SMAS BAITURRAHMAN,20238007,Ridogalih,Kec. Cibarusah,Kab. Bekasi,17346,-6.441,107.1158,SWASTA,C
SMAS BHAKTI NEGARA KAB BEKASI,20253251,Tanjungbaru,Kec. Cikarang Timur,Kab. Bekasi,17823,-6.267,107.2212,SWASTA,B
SMAS BINA BANGSA SUKATANI,20238008,Sukadarma,Kec. Sukatani,Kab. Bekasi,17630,-6.17,107.1798,SWASTA,B
SMAS BINA NEGARA,20238009,Bantarsari,Kec. Pebayuran,Kab. Bekasi,17710,-6.207,107.2495,SWASTA,Belum/Tidak Terakreditasi
SMAS BINA UMAT,69928480,Kedungpengawas,Kec. Babelan,Kab. Bekasi,17610,-6.1563662,107.0342705,SWASTA,B
SMAS DAARUL FIKRI,69873594,Telagamurni,Kec. Cikarang Barat,Kab. Bekasi,17520,-6.3118,107.0885,SWASTA,B
SMAS DAARUL QURAN,69728579,Cibarusahjaya,Kec. Cibarusah,Kab. Bekasi,17852,-6.3468,107.1107,SWASTA,A
SMAS DARUL MUALLAMAH,20238011,Nagasari,Kec. Serang Baru,Kab. Bekasi,17337,-6.4164,107.1438,SWASTA,B
SMAS DARUL MUTAQIN,20238028,Wibawamulya,Kec. Cibarusah,Kab. Bekasi,17344,-6.4211,107.1069,SWASTA,B
SMAS DIAN HARAPAN,20238013,Cibatu,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.3388,107.1503,SWASTA,A
SMAS DON BOSCO III,20253810,Pasirsari,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.3212,107.1391,SWASTA,A
SMAS IMAN MUARAGEMBONG,20251860,Pantaimekar,Kec. Muara Gembong,Kab. Bekasi,17730,-5.9883,107.04,SWASTA,B
SMAS INFORMATIKA,20270709,Sukadaya,Kec. Sukawangi,Kab. Bekasi,17656,-6.1216,107.167,SWASTA,B
SMAS ISLAM AL-KAMAL,20246452,Karangmulya,Kec. Bojong Mangu,Kab. Bekasi,17356,-6.4411,107.1624,SWASTA,B
SMAS ISLAM AL-MUNIR,20253561,Jejalen Jaya,Kec. Tambun Utara,Kab. Bekasi,17567,-6.2306,107.0667,SWASTA,A
SMAS ISLAM ANNUR BABELAN,20253898,Bunibakti,Kec. Babelan,Kab. Bekasi,-,-6.1411,107.0192,SWASTA,B
SMAS ISLAM ASY SYIFA,20238006,Jayasampurna,Kec. Serang Baru,Kab. Bekasi,17332,-6.3814,107.0853,SWASTA,B
SMAS ISLAM FATAHILLAH CABANGBUNGIN,20275311,Sindangjaya,Kec. Cabangbungin,Kab. Bekasi,17720,-6.0855,107.1336,SWASTA,C
SMAS ISLAM KARANGBAHAGIA,20253753,Sukaraya,Kec. Karang Bahagia,Kab. Bekasi,17530,-6.2376,107.1595,SWASTA,B
SMAS ISLAM MIFTAHUL ULUM,20238014,Burangkeng,Kec. Setu,Kab. Bekasi,17320,-6.3438,107.0333,SWASTA,A
SMAS ISLAM NUR EL GHAZY,20238019,Tambun,Kec. Tambun Selatan,Kab. Bekasi,17511,-6.2709,107.0756,SWASTA,A
SMAS ISLAM PB SOEDIRMAN 2 BEKASI,20238020,Setia Asih,Kec. Taruma Jaya,Kab. Bekasi,17215,-6.169351,106.999983,SWASTA,A
SMAS ISLAM PUTRA DARMA,69753773,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.241,107.0791,SWASTA,A
SMAS ISLAM YASPIA CIBARUSAH,20238029,Sindangmulya,Kec. Cibarusah,Kab. Bekasi,17343,-6.4283,107.0847,SWASTA,A
SMAS IT AL BINAA,20253130,Kertasari,Kec. Pebayuran,Kab. Bekasi,17710,-6.1372,107.2596,SWASTA,A
SMAS IT AL FIDAA,69728578,Setiamekar,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2522,107.047,SWASTA,A
SMAS IT AL LUTFAH,20244764,Ciantra,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.3412,107.1148,SWASTA,A
SMAS IT AL-MAIDAH,60725084,Sukamulya,Kec. Sukatani,Kab. Bekasi,17653,-6.0786,107.0892,SWASTA,C
SMAS IT ATTAUHID BABELAN,20253934,Muarabakti,Kec. Babelan,Kab. Bekasi,17610,-6.0958,107.0528,SWASTA,A
SMAS IT DARUL MUHSININ,20268951,Wanasari,Kec. Cibitung,Kab. Bekasi,17520,-6.2474,107.0855,SWASTA,C
SMAS IT KI HAJAR DEWANTORO,69902897,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.217,107.0765,SWASTA,B
SMAS IT MUSLIMAH SEJATI,70045722,Tridayasakti,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2435,107.0745,SWASTA,Belum/Tidak Terakreditasi
SMAS IT THORIQ BIN ZIYAD,20257102,Jatimulya,Kec. Tambun Selatan,Kab. Bekasi,17515,-6.2699,107.0297,SWASTA,A
SMAS JAYA SUTI ABADI,20238015,Tridayasakti,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2436,107.0646,SWASTA,A
SMAS JHON PAULS SCHOOL,69775473,Pusakarakyat,Kec. Taruma Jaya,Kab. Bekasi,17214,-6.1536,106.982,SWASTA,B
SMAS KRISTEN IPEKA GRAND WISATA,69927177,Lambangsari,Kec. Tambun Selatan,Kab. Bekasi,-,-6.2894,107.0408,SWASTA,A
SMAS KRISTEN NASIONAL ANGLO,20238018,Serang,Kec. Cikarang Selatan,Kab. Bekasi,17550,-6.348,107.1384,SWASTA,A
SMAS MUTIARA ISLAMI PLUS,69841003,Sukaragam,Kec. Serang Baru,Kab. Bekasi,17330,-6.3966,107.107,SWASTA,A
SMAS NURUL YAQIN,20245435,Sukatenang,Kec. Sukawangi,Kab. Bekasi,17654,-6.0959,107.0697,SWASTA,B
SMAS PANGUDI LUHUR BERNARDUS,69864644,Hegarmukti,Kec. Cikarang Pusat,Kab. Bekasi,17530,-6.3584,107.1859,SWASTA,A
SMAS PESANTREN DARUL IKHLAS,69899932,Jayasampurna,Kec. Serang Baru,Kab. Bekasi,17330,-6.3718,107.0932,SWASTA,B
SMAS PLUS BINAAUL UMMAH,20280610,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2316,107.0826,SWASTA,B
SMAS PRESIDEN (BOARDING SCHOOL),20252288,Simpangan,Kec. Cikarang Utara,Kab. Bekasi,17551,-6.2813,107.1684,SWASTA,A
SMAS PUSAKA NUSANTARA 2,20238570,Mekarsari,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2615,107.059,SWASTA,A
SMAS RIYADLUL JANNAH,20244733,Pasirgombong,Kec. Cikarang Utara,Kab. Bekasi,17530,-6.2766,107.1515,SWASTA,B
SMAS SABILUL MUHTADIN,20251918,Babelan Kota,Kec. Babelan,Kab. Bekasi,17612,-6.1645,107.0446,SWASTA,B
SMAS SEKOLAH RAKYAT,20246454,Kedungpengawas,Kec. Babelan,Kab. Bekasi,17610,-6.1461,107.0493,SWASTA,A
SMAS TERPADU PELITA BANGSA,69889026,Pantaibahagia,Kec. Muara Gembong,Kab. Bekasi,17730,-6.012988,107.068434,SWASTA,B
SMAS TUNAS BANGSA PEBAYURAN,20251802,Karangharja,Kec. Pebayuran,Kab. Bekasi,17710,-6.1087,107.2116,SWASTA,B
SMAS YADIKA 13,20268860,Jejalen Jaya,Kec. Tambun Utara,Kab. Bekasi,17567,-6.2154,107.073,SWASTA,A
SMAS YADIKA 8 JATI MULYA,20238027,Jatimulya,Kec. Tambun Selatan,Kab. Bekasi,17515,-6.2726,107.0188,SWASTA,A
SMAS YAPINK TAMBUN SELATAN,20251809,Tambun,Kec. Tambun Selatan,Kab. Bekasi,17511,-6.2619,107.0606,SWASTA,A
SMA NEGERI 1 BOJONGGEDE,69888996,Cimanggis,Kec. Bojong Gede,Kab. Bogor,16320,-6.4976,106.7788,NEGERI,A
SMA NEGERI 1 LEUWISADENG,69954894,Leuwisadeng,Kec. Leuwisadeng,Kab. Bogor,16641,-6.5746,106.5992,NEGERI,A
SMA NEGERI 1 TANJUNGSARI,69962280,Antajaya,Kec. Tanjung Sari,Kab. Bogor,16840,-6.5695,107.145,NEGERI,A
SMA NEGERI 2 CILEUNGSI,69926270,Cipenjo,Kec. Cileungsi,Kab. Bogor,16820,-6.3942,106.9778,NEGERI,A
SMAN 1 BABAKAN MADANG,20231322,Babakan Madang,Kec. Babakan Madang,Kab. Bogor,16811,-6.5698,106.8665,NEGERI,A
SMAN 1 CARINGIN,20254098,Cimande Hilir,Kec. Caringin,Kab. Bogor,16730,-6.7047,106.8248,NEGERI,A
SMAN 1 CARIU,20200884,Cariu,Kec. Cariu,Kab. Bogor,16840,-6.5235,107.1266,NEGERI,A
SMAN 1 CIAMPEA,20200676,Cibadak,Kec. Ciampea,Kab. Bogor,16620,-6.5561,106.6899,NEGERI,A
SMAN 1 CIAWI BOGOR,20200685,Banjar Waru,Kec. Ciawi,Kab. Bogor,16720,-6.6762,106.8612,NEGERI,A
SMAN 1 CIBINONG,20200885,Ciriung,Kec. Cibinong,Kab. Bogor,16918,-6.4703533,106.8618067,NEGERI,A
SMAN 1 CIBUNGBULANG,20231324,Cibatok 1,Kec. Cibungbulang,Kab. Bogor,16630,-6.5874,106.6629,NEGERI,A
SMAN 1 CIGOMBONG,20200886,Wates Jaya,Kec. Cigombong,Kab. Bogor,16740,-6.7492,106.8041,NEGERI,A
SMAN 1 CIGUDEG,20231325,Cigudeg,Kec. Cigudeg,Kab. Bogor,16660,-6.5541,106.5364,NEGERI,A
SMAN 1 CIJERUK,20271050,Cijeruk,Kec. Cijeruk,Kab. Bogor,16740,-6.7054,106.7956,NEGERI,A
SMAN 1 CILEUNGSI,20200681,Cileungsi,Kec. Cileungsi,Kab. Bogor,16820,-6.3941,106.9561,NEGERI,A
SMAN 1 CIOMAS,20232374,Sukaharja,Kec. Ciomas,Kab. Bogor,16610,-6.6048,106.7497,NEGERI,A
SMAN 1 CISARUA,20232375,Leuwimalang,Kec. Cisarua,Kab. Bogor,16750,-6.6661,106.926,NEGERI,A
SMAN 1 CISEENG,20232376,Putat Nutug,Kec. Ciseeng,Kab. Bogor,16120,-6.458,106.6651,NEGERI,A
SMAN 1 CITEUREUP,20200603,Tarikolot,Kec. Citeureup,Kab. Bogor,16810,-6.5052893,106.8880029,NEGERI,A
SMAN 1 DRAMAGA,20232377,Dramaga,Kec. Dramaga,Kab. Bogor,16680,-6.5696,106.74,NEGERI,A
SMAN 1 GUNUNG PUTRI,20231330,Bojong Nangka,Kec. Gunungputri,Kab. Bogor,16963,-6.4365,106.9149,NEGERI,A
SMAN 1 GUNUNG SINDUR,20231331,Gunung Sindur,Kec. Gunung Sindur,Kab. Bogor,16340,-6.3833,106.6595,NEGERI,A
SMAN 1 JASINGA,20200587,Setu,Kec. Jasinga,Kab. Bogor,16670,-6.4719,106.4677,NEGERI,A
SMAN 1 JONGGOL,20200680,Sukasirna,Kec. Jonggol,Kab. Bogor,16830,-6.4825,107.0603,NEGERI,A
SMAN 1 KLAPANUNGGAL,20276388,Kelapa Nunggal,Kec. Klapanunggal,Kab. Bogor,16820,-6.4522,106.9609,NEGERI,A
SMAN 1 LEUWILIANG,20200601,Leuwiliang,Kec. Leuwiliang,Kab. Bogor,16640,-6.5721,106.6293,NEGERI,A
SMAN 1 MEGAMENDUNG,20232380,Sukamaju,Kec. Megamendung,Kab. Bogor,16770,-6.678,106.8882,NEGERI,A
SMAN 1 NANGGUNG,20254612,Nanggung,Kec. Nanggung,Kab. Bogor,16650,-6.6074,106.537,NEGERI,A
SMAN 1 PAMIJAHAN,20231334,Gunung Sari,Kec. Pamijahan,Kab. Bogor,16810,-6.6685,106.6632,NEGERI,A
SMAN 1 PARUNG,20200602,Warujaya,Kec. Parung,Kab. Bogor,16330,-6.4369,106.711,NEGERI,A
SMAN 1 PARUNG PANJANG,20200887,Jagabaya,Kec. Parungpanjang,Kab. Bogor,16360,-6.3961805,106.5443965,NEGERI,A
SMAN 1 RANCABUNGUR,69754446,Pasir Gaok,Kec. Ranca Bungur,Kab. Bogor,16310,-6.5425,106.7171,NEGERI,A
SMAN 1 RUMPIN,20200903,Rumpin,Kec. Rumpin,Kab. Bogor,16350,-6.4424,106.6402,NEGERI,A
SMAN 1 SUKAJAYA,20232382,Sukajaya,Kec. Sukajaya,Kab. Bogor,16660,-6.5928,106.5187,NEGERI,A
SMAN 1 SUKAMAKMUR,20232383,Sukamulya,Kec. Sukamakmur,Kab. Bogor,16830,-6.5778,107.0073,NEGERI,B
SMAN 1 SUKARAJA,20231337,Cikeas,Kec. Sukaraja,Kab. Bogor,16710,-6.5854,106.8449,NEGERI,A
SMAN 1 TAJURHALANG,20232371,Tajur Halang,Kec. Tajurhalang,Kab. Bogor,16320,-6.4766,106.7569,NEGERI,A
SMAN 1 TAMANSARI,20200604,Taman Sari,Kec. Tamansari,Kab. Bogor,16610,-6.655,106.7484,NEGERI,A
SMAN 1 TENJO,20231338,Babakan,Kec. Tenjo,Kab. Bogor,16370,-6.348,106.4638,NEGERI,A
SMAN 1 TENJOLAYA,69752279,Tapos 1,Kec. Tenjolaya,Kab. Bogor,16371,-6.6429,106.6939,NEGERI,B
SMAN 2 CIBINONG,20200691,Karadenan,Kec. Cibinong,Kab. Bogor,16913,-6.5228617,106.807865,NEGERI,A
SMAN 2 GUNUNG PUTRI,20270776,Ciangsana,Kec. Gunungputri,Kab. Bogor,16968,-6.3643,106.9573,NEGERI,A
SMAN 2 JONGGOL,69986555,Jonggol,Kec. Jonggol,Kab. Bogor,16830,-6.4705,107.074,NEGERI,B
SMAN 3 CIBINONG,20231339,Nanggewer,Kec. Cibinong,Kab. Bogor,16912,-6.510813,106.823105,NEGERI,A
SMAN 4 CIBINONG,69918146,Cibinong,Kec. Cibinong,Kab. Bogor,16911,-6.4862133,106.8582783,NEGERI,A
SMA AL AMIN,69827809,Cibening,Kec. Pamijahan,Kab. Bogor,16630,-6.6377,106.6716,SWASTA,B
SMA AL MINHAJ,69866096,Sukamantri,Kec. Tamansari,Kab. Bogor,16610,-6.6534,106.7676,SWASTA,B
SMA AL WAFI IBS,69992187,Citayam,Kec. Tajurhalang,Kab. Bogor,16320,-6.4417,106.7404,SWASTA,A
SMA AL-HADIID CILEUNGSI,70031734,Cileungsi Kidul,Kec. Cileungsi,Kab. Bogor,16820,-6.4085,106.9638,SWASTA,B
SMA Al-Quran Wahdah Islamiyah Cibinong,70029070,Pakansari,Kec. Cibinong,Kab. Bogor,16914,-6.4926667,106.8283764,SWASTA,A
SMA AQL ISLAMIC SCHOOL,70001504,Sukasirna,Kec. Jonggol,Kab. Bogor,16830,-6.490167,107.062674,SWASTA,B
SMA BINA SPORA MANDIRI,69799885,Pasir Jaya,Kec. Cigombong,Kab. Bogor,16740,-6.7294,106.7901,SWASTA,B
SMA BOASH,20232403,Parakan Jaya,Kec. Kemang,Kab. Bogor,16310,-6.5233,106.7602,SWASTA,A
SMA CIPTA CENDIKIA,69978567,Karadenan,Kec. Cibinong,Kab. Bogor,16913,-6.5171,106.8107,SWASTA,B
SMA CITRA BERKAT,69953981,Sukamaju,Kec. Jonggol,Kab. Bogor,16830,-6.461967,107.062192,SWASTA,A
SMA Daar El-Salam,70050798,Bojong Kulur,Kec. Gunungputri,Kab. Bogor,16969,-6.3136,106.9759,SWASTA,Belum/Tidak Terakreditasi
SMA FITRAH ISLAMIC WORLD ACADEMY,69978378,Karihkil,Kec. Ciseeng,Kab. Bogor,16120,-6.4795,106.6745,SWASTA,A
SMA GENERUS MANDIRI,70042090,Gunung Putri,Kec. Gunungputri,Kab. Bogor,16961,-6.4649853,106.8882874,SWASTA,Belum/Tidak Terakreditasi
SMA IC MAGNET SCHOOL,69901004,GUNUNG MULYA,Kec. Tenjolaya,Kab. Bogor,16370,-6.63474,106.706094,SWASTA,A
SMA INSAN CENDEKIA BOARDING SCHOOL,69982490,Kadumangu,Kec. Babakan Madang,Kab. Bogor,16810,-6.543232,106.853555,SWASTA,A
SMA INTERNATIONAL ISLAMIC SCHOOL OF INDONESIA,20252077,Hambalang,Kec. Citeureup,Kab. Bogor,16810,-6.5523,106.8809,SWASTA,A
SMA ISLAM AL AZHAR 24,70011787,Pasir Jaya,Kec. Cigombong,Kab. Bogor,16110,-6.7312488,106.783203,SWASTA,A
SMA ISLAM AL MADINAH MALATI,69861171,Singasari,Kec. Jonggol,Kab. Bogor,16830,-6.486941,106.99487,SWASTA,B
SMA Islam Al-Azhar BSD@Metland,70028282,Cipenjo,Kec. Cileungsi,Kab. Bogor,16820,-6.3882812,106.9874598,SWASTA,Belum/Tidak Terakreditasi
SMA ISLAM AL-GHOZALI,20232351,Curug,Kec. Gunung Sindur,Kab. Bogor,16340,-6.3942,106.7209,SWASTA,A
SMA ISLAM CIKAL HARAPAN 2,69908200,Sukamaju,Kec. Jonggol,Kab. Bogor,16830,-6.4530341,107.0416143,SWASTA,A
SMA ISLAM DAARUL ARHAM,20231290,Batok,Kec. Tenjo,Kab. Bogor,16370,-6.388193,106.517193,SWASTA,B
SMA ISLAM DAARUL WASIILAH,70040506,Kopo,Kec. Cisarua,Kab. Bogor,16750,-6.6706,106.9172,SWASTA,Belum/Tidak Terakreditasi
SMA ISLAM TERPADU AL MUSTHAFAWIYAH,69990743,Sukakarya,Kec. Megamendung,Kab. Bogor,16770,-6.6858,106.901,SWASTA,B
SMA ISLAM TERPADU AL-MADINAH,20232311,Karadenan,Kec. Cibinong,Kab. Bogor,16913,-6.5107267,106.80529,SWASTA,A
SMA ISLAM TERPADU NURUL FIKRI BOARDING SCHOOL,69987474,Sukaluyu,Kec. Tamansari,Kab. Bogor,16610,-6.6455,106.7394,SWASTA,A
SMA IT AL ANDALUS,70038321,Balekambang,Kec. Jonggol,Kab. Bogor,16830,-6.5111,107.0823,SWASTA,Belum/Tidak Terakreditasi
SMA IT Al Fityan Boarding School Bogor,70027072,Mekarsari,Kec. Cileungsi,Kab. Bogor,16820,-6.400124,106.9976646,SWASTA,A
SMA IT AN Nawawi AL BANTANI,70006066,Cibadung,Kec. Gunung Sindur,Kab. Bogor,16340,-6.4087442,106.6917534,SWASTA,B
SMA IT An-Naafi,70028128,Kuripan,Kec. Ciseeng,Kab. Bogor,16120,-6.431407,106.6678363,SWASTA,B
SMA IT ANUGERAH INSANI,70042516,Karadenan,Kec. Cibinong,Kab. Bogor,16913,0.0027,0.0003,SWASTA,Belum/Tidak Terakreditasi
SMA IT DARUL QUR AN,20271471,Pabuaran,Kec. Gunung Sindur,Kab. Bogor,16430,-6.376,106.6801,SWASTA,A
SMA IT DARUL QURAN MULIA,70035800,Pabuaran,Kec. Gunung Sindur,Kab. Bogor,16340,-6.3753,106.6804,SWASTA,A
